ID_PESQUISA;DATA_PESQUISA;MUNICÍPIO;ESTADO;INTENÇÃO DE VOTO
P1;04/09/2022;Guarulhos;SP;A
P1;04/09/2022;Linhares;ES;A
P1;04/09/2022;Anagé;BA;A
P1;04/09/2022;Rio das Ostras;RJ;A
P1;04/09/2022;São Paulo;SP;A
P1;04/09/2022;Mundo Novo;MS;A
P1;04/09/2022;Ouricuri;PE;A
P1;04/09/2022;Mariápolis;SP;B
P1;04/09/2022;Garanhuns;PE;A
P1;04/09/2022;Sapiranga;RS;B
P1;04/09/2022;Guaraí;TO;A
P1;04/09/2022;Porto Velho;RO;B
P1;04/09/2022;Porto Walter;AC;B
P1;04/09/2022;Iguaba Grande;RJ;A
P1;04/09/2022;Guapé;MG;A
P1;04/09/2022;Meruoca;CE;A
P1;04/09/2022;Jaguaré;ES;A
P1;04/09/2022;Joaçaba;SC;B
P1;04/09/2022;Ribeirão Pires;SP;B
P1;04/09/2022;Aparecida do Taboado;MS;A
P1;04/09/2022;Reriutaba;CE;B
P1;04/09/2022;Uruguaiana;RS;A
P1;04/09/2022;Guarulhos;SP;B
P1;04/09/2022;Bento Gonçalves;RS;A
P1;04/09/2022;Douradina;MS;A
P1;04/09/2022;Salinas da Margarida;BA;B
P1;04/09/2022;Canguçu;RS;B
P1;04/09/2022;Teófilo Otoni;MG;B
P1;04/09/2022;Capixaba;AC;B
P1;04/09/2022;Serrinha;BA;A
P1;04/09/2022;Mirangaba;BA;B
P1;04/09/2022;Venda Nova do Imigrante;ES;B
P1;04/09/2022;Pirapora do Bom Jesus;SP;A
P1;04/09/2022;Balsas;MA;A
P1;04/09/2022;Manaquiri;AM;B
P1;04/09/2022;Clementina;SP;B
P1;04/09/2022;Nossa Senhora do Socorro;SE;B
P1;04/09/2022;São Bento do Sapucaí;SP;B
P1;04/09/2022;Cruzmaltina;PR;B
P1;04/09/2022;Viana;ES;A
P1;04/09/2022;Cataguases;MG;B
P1;04/09/2022;São Gabriel da Cachoeira;AM;B
P1;04/09/2022;São Miguel Arcanjo;SP;B
P1;04/09/2022;Guarujá;SP;A
P1;04/09/2022;Forquilha;CE;A
P1;04/09/2022;Chapecó;SC;A
P1;04/09/2022;Itaberaba;BA;B
P1;04/09/2022;Maracanã;PA;B
P1;04/09/2022;Anitápolis;SC;B
P1;04/09/2022;Rio das Ostras;RJ;B
P1;04/09/2022;Maceió;AL;A
P1;04/09/2022;Ji-Paraná;RO;B
P1;04/09/2022;Boa Vista;RR;A
P1;04/09/2022;Olinda Nova do Maranhão;MA;A
P1;04/09/2022;Manacapuru;AM;A
P1;04/09/2022;Porto Walter;AC;B
P1;04/09/2022;Jericó;PB;A
P1;04/09/2022;Diamante D'Oeste;PR;B
P1;04/09/2022;Betim;MG;B
P1;04/09/2022;Vila Velha;ES;B
P1;04/09/2022;Limoeiro de Anadia;AL;A
P1;04/09/2022;Vargem Grande;MA;A
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;Jandaia;GO;A
P1;04/09/2022;Cacimbinhas;AL;A
P1;04/09/2022;Ibirataia;BA;B
P1;04/09/2022;Presidente Prudente;SP;B
P1;04/09/2022;Vila Velha;ES;B
P1;04/09/2022;Pedro Avelino;RN;A
P1;04/09/2022;Natal;RN;B
P1;04/09/2022;Nossa Senhora do Socorro;SE;A
P1;04/09/2022;Catanduvas;PR;B
P1;04/09/2022;Pium;TO;A
P1;04/09/2022;Rurópolis;PA;B
P1;04/09/2022;Coxixola;PB;A
P1;04/09/2022;Camanducaia;MG;B
P1;04/09/2022;Santana da Boa Vista;RS;B
P1;04/09/2022;Santo André;SP;B
P1;04/09/2022;Salinas da Margarida;BA;A
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;Aquidabã;SE;B
P1;04/09/2022;Santa Luzia do Itanhy;SE;A
P1;04/09/2022;Buriticupu;MA;A
P1;04/09/2022;Uruguaiana;RS;B
P1;04/09/2022;Ilha das Flores;SE;A
P1;04/09/2022;Verdejante;PE;B
P1;04/09/2022;Laranjal do Jari;AP;A
P1;04/09/2022;Juazeiro do Norte;CE;B
P1;04/09/2022;Monte Alegre;RN;B
P1;04/09/2022;Goiatins;TO;A
P1;04/09/2022;Monsenhor Tabosa;CE;A
P1;04/09/2022;Terenos;MS;B
P1;04/09/2022;Uruguaiana;RS;A
P1;04/09/2022;Dianópolis;TO;B
P1;04/09/2022;Senhor do Bonfim;BA;A
P1;04/09/2022;Chapecó;SC;B
P1;04/09/2022;Chapecó;SC;B
P1;04/09/2022;Pimenta Bueno;RO;B
P1;04/09/2022;Paraíba do Sul;RJ;B
P1;04/09/2022;Atibaia;SP;B
P1;04/09/2022;Araxá;MG;B
P1;04/09/2022;Nazaré da Mata;PE;A
P1;04/09/2022;Valença;BA;A
P1;04/09/2022;Salvador;BA;A
P1;04/09/2022;São Miguel do Guaporé;RO;A
P1;04/09/2022;Alterosa;MG;A
P1;04/09/2022;Barra do Rocha;BA;B
P1;04/09/2022;Capivari;SP;A
P1;04/09/2022;Camaragibe;PE;B
P1;04/09/2022;Rio das Ostras;RJ;B
P1;04/09/2022;Iguaí;BA;A
P1;04/09/2022;Cotriguaçu;MT;A
P1;04/09/2022;Vila Velha;ES;B
P1;04/09/2022;Brasília;DF;A
P1;04/09/2022;Natal;RN;A
P1;04/09/2022;Vale de São Domingos;MT;B
P1;04/09/2022;Almirante Tamandaré;PR;B
P1;04/09/2022;Benedito Leite;MA;B
P1;04/09/2022;Jericó;PB;B
P1;04/09/2022;Nossa Senhora de Lourdes;SE;A
P1;04/09/2022;Catuípe;RS;A
P1;04/09/2022;Alto Alegre;RR;A
P1;04/09/2022;Rio Branco;AC;A
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;Palmas;TO;A
P1;04/09/2022;Campo Grande;MS;B
P1;04/09/2022;Laranjeiras;SE;A
P1;04/09/2022;Manacapuru;AM;B
P1;04/09/2022;Belém;PA;A
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;Quixaba;PE;B
P1;04/09/2022;Erechim;RS;B
P1;04/09/2022;Santa Clara do Sul;RS;B
P1;04/09/2022;Talismã;TO;B
P1;04/09/2022;Tatuí;SP;B
P1;04/09/2022;Barra do Garças;MT;B
P1;04/09/2022;Oeiras do Pará;PA;B
P1;04/09/2022;Jutaí;AM;B
P1;04/09/2022;Pimenta Bueno;RO;A
P1;04/09/2022;Xapuri;AC;A
P1;04/09/2022;Sapopema;PR;B
P1;04/09/2022;Esperantina;PI;A
P1;04/09/2022;Tombos;MG;A
P1;04/09/2022;Serra Nova Dourada;MT;B
P1;04/09/2022;Nova Canaã do Norte;MT;B
P1;04/09/2022;Fortaleza;CE;B
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;União;PI;A
P1;04/09/2022;Mazagão;AP;A
P1;04/09/2022;Castanheira;MT;B
P1;04/09/2022;Laranjal do Jari;AP;B
P1;04/09/2022;Laranjal do Jari;AP;A
P1;04/09/2022;Taperoá;PB;A
P1;04/09/2022;Mauá;SP;B
P1;04/09/2022;São João da Barra;RJ;B
P1;04/09/2022;Manaus;AM;A
P1;04/09/2022;São Miguel Arcanjo;SP;B
P1;04/09/2022;Sena Madureira;AC;B
P1;04/09/2022;Recife;PE;A
P1;04/09/2022;Vila Valério;ES;B
P1;04/09/2022;Louveira;SP;B
P1;04/09/2022;Itanagra;BA;A
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;Porteiras;CE;B
P1;04/09/2022;São Miguel Arcanjo;SP;A
P1;04/09/2022;Douradina;MS;A
P1;04/09/2022;Camapuã;MS;A
P1;04/09/2022;Pedra;PE;B
P1;04/09/2022;Cotriguaçu;MT;B
P1;04/09/2022;São Paulo;SP;A
P1;04/09/2022;Aracitaba;MG;A
P1;04/09/2022;Triunfo;PE;A
P1;04/09/2022;São Gonçalo;RJ;B
P1;04/09/2022;São Miguel Arcanjo;SP;A
P1;04/09/2022;Comodoro;MT;B
P1;04/09/2022;Santa Luzia do Paruá;MA;B
P1;04/09/2022;Petrópolis;RJ;B
P1;04/09/2022;São Domingos;SE;A
P1;04/09/2022;Porto dos Gaúchos;MT;B
P1;04/09/2022;Pareci Novo;RS;A
P1;04/09/2022;Guarujá;SP;B
P1;04/09/2022;Botucatu;SP;A
P1;04/09/2022;Santana do Araguaia;PA;B
P1;04/09/2022;Barcarena;PA;A
P1;04/09/2022;Pocinhos;PB;B
P1;04/09/2022;Santanópolis;BA;B
P1;04/09/2022;Brasília;DF;A
P1;04/09/2022;Aracaju;SE;A
P1;04/09/2022;Aparecida do Taboado;MS;B
P1;04/09/2022;Alto Alegre;RR;B
P1;04/09/2022;Campo Grande;MS;A
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;Santa Cruz;RN;A
P1;04/09/2022;Parnaíba;PI;A
P1;04/09/2022;Alto Parnaíba;MA;B
P1;04/09/2022;Belmiro Braga;MG;A
P1;04/09/2022;São José do Cedro;SC;B
P1;04/09/2022;Gurupi;TO;A
P1;04/09/2022;Barro Duro;PI;B
P1;04/09/2022;Palmas de Monte Alto;BA;A
P1;04/09/2022;Buíque;PE;B
P1;04/09/2022;Vicência;PE;B
P1;04/09/2022;Ouro Verde do Oeste;PR;B
P1;04/09/2022;Carapicuíba;SP;B
P1;04/09/2022;Cujubim;RO;A
P1;04/09/2022;Lagoa d'Anta;RN;A
P1;04/09/2022;Eliseu Martins;PI;B
P1;04/09/2022;Saquarema;RJ;A
P1;04/09/2022;Assis Brasil;AC;B
P1;04/09/2022;Entre Rios;SC;B
P1;04/09/2022;Almenara;MG;B
P1;04/09/2022;Nilópolis;RJ;A
P1;04/09/2022;Cotriguaçu;MT;B
P1;04/09/2022;Poço Redondo;SE;A
P1;04/09/2022;Lacerdópolis;SC;A
P1;04/09/2022;Nova Venécia;ES;B
P1;04/09/2022;Jaramataia;AL;A
P1;04/09/2022;Porto Velho;RO;B
P1;04/09/2022;Anápolis;GO;A
P1;04/09/2022;Visconde do Rio Branco;MG;A
P1;04/09/2022;Aracaju;SE;A
P1;04/09/2022;Francisco Morato;SP;B
P1;04/09/2022;Osvaldo Cruz;SP;B
P1;04/09/2022;Nova Mamoré;RO;B
P1;04/09/2022;Colômbia;SP;B
P1;04/09/2022;Marechal Thaumaturgo;AC;B
P1;04/09/2022;Nhamundá;AM;A
P1;04/09/2022;Alto Alegre;RR;B
P1;04/09/2022;Fortaleza;CE;B
P1;04/09/2022;Além Paraíba;MG;A
P1;04/09/2022;Jauru;MT;B
P1;04/09/2022;Anajás;PA;A
P1;04/09/2022;Guanhães;MG;B
P1;04/09/2022;Aracaju;SE;B
P1;04/09/2022;Forquilha;CE;A
P1;04/09/2022;Palmas;TO;A
P1;04/09/2022;Camapuã;MS;B
P1;04/09/2022;Cascavel;PR;B
P1;04/09/2022;Itaiópolis;SC;B
P1;04/09/2022;Laranjal do Jari;AP;A
P1;04/09/2022;Chapecó;SC;B
P1;04/09/2022;Parnamirim;RN;A
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;São Luís;MA;B
P1;04/09/2022;Arapiraca;AL;B
P1;04/09/2022;Miranda do Norte;MA;B
P1;04/09/2022;Brasília;DF;A
P1;04/09/2022;Pitangui;MG;B
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;Dourados;MS;B
P1;04/09/2022;Bom Jesus da Lapa;BA;A
P1;04/09/2022;Itapecerica da Serra;SP;B
P1;04/09/2022;Santa Quitéria do Maranhão;MA;B
P1;04/09/2022;Suzano;SP;B
P1;04/09/2022;Sousa;PB;B
P1;04/09/2022;Itabaiana;SE;A
P1;04/09/2022;Oeiras;PI;A
P1;04/09/2022;Douradina;MS;A
P1;04/09/2022;Maracaju;MS;B
P1;04/09/2022;Limoeiro de Anadia;AL;A
P1;04/09/2022;São Carlos;SC;B
P1;04/09/2022;Limoeiro de Anadia;AL;A
P1;04/09/2022;Igreja Nova;AL;A
P1;04/09/2022;Belmiro Braga;MG;A
P1;04/09/2022;Formosa;GO;B
P1;04/09/2022;Guarulhos;SP;A
P1;04/09/2022;Iracema;RR;B
P1;04/09/2022;Laranjal do Jari;AP;A
P1;04/09/2022;Novo Mundo;MT;A
P1;04/09/2022;Arapoema;TO;B
P1;04/09/2022;Inhumas;GO;A
P1;04/09/2022;João Câmara;RN;B
P1;04/09/2022;José Bonifácio;SP;A
P1;04/09/2022;Arraias;TO;B
P1;04/09/2022;Campo Grande;MS;B
P1;04/09/2022;Ibirataia;BA;B
P1;04/09/2022;Carpina;PE;B
P1;04/09/2022;Forquilha;CE;A
P1;04/09/2022;Carpina;PE;B
P1;04/09/2022;Campos Sales;CE;B
P1;04/09/2022;Cerejeiras;RO;B
P1;04/09/2022;Alto Alegre;RR;B
P1;04/09/2022;Cuiabá;MT;B
P1;04/09/2022;Aracaju;SE;A
P1;04/09/2022;Americana;SP;A
P1;04/09/2022;Ipubi;PE;B
P1;04/09/2022;Itanhaém;SP;A
P1;04/09/2022;Camalaú;PB;A
P1;04/09/2022;Codó;MA;A
P1;04/09/2022;Uirapuru;GO;B
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;Embaúba;SP;B
P1;04/09/2022;Manaus;AM;A
P1;04/09/2022;Macapá;AP;A
P1;04/09/2022;Itaoca;SP;B
P1;04/09/2022;Dueré;TO;B
P1;04/09/2022;Rio Preto da Eva;AM;A
P1;04/09/2022;Alegrete;RS;A
P1;04/09/2022;Volta Redonda;RJ;A
P1;04/09/2022;Rio Branco;AC;B
P1;04/09/2022;Campo Grande;MS;B
P1;04/09/2022;Caxias do Sul;RS;A
P1;04/09/2022;Londrina;PR;A
P1;04/09/2022;Iguatemi;MS;B
P1;04/09/2022;Maceió;AL;B
P1;04/09/2022;Joaçaba;SC;B
P1;04/09/2022;Belém;PA;B
P1;04/09/2022;Marabá;PA;A
P1;04/09/2022;São Fidélis;RJ;B
P1;04/09/2022;Patrocínio;MG;A
P1;04/09/2022;Manaus;AM;A
P1;04/09/2022;São Simão;GO;B
P1;04/09/2022;Rodrigues Alves;AC;B
P1;04/09/2022;Manaquiri;AM;B
P1;04/09/2022;Porto Walter;AC;B
P1;04/09/2022;São Miguel Arcanjo;SP;B
P1;04/09/2022;Moju;PA;A
P1;04/09/2022;Euclides da Cunha;BA;A
P1;04/09/2022;João Pessoa;PB;A
P1;04/09/2022;Anadia;AL;A
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;Brasília;DF;A
P1;04/09/2022;Curuçá;PA;A
P1;04/09/2022;Paço do Lumiar;MA;A
P1;04/09/2022;Mari;PB;B
P1;04/09/2022;São Paulo;SP;B
P1;04/09/2022;Sorocaba;SP;B
P1;04/09/2022;Areia Branca;SE;A
P1;04/09/2022;Anajás;PA;B
P1;04/09/2022;Cambará;PR;B
P1;04/09/2022;Laranja da Terra;ES;A
P1;04/09/2022;Boquim;SE;B
P1;04/09/2022;Vila Valério;ES;B
P1;04/09/2022;Pirangi;SP;A
P1;04/09/2022;Itabaianinha;SE;A
P1;04/09/2022;Mogi Guaçu;SP;A
P1;04/09/2022;Belmiro Braga;MG;B
P1;04/09/2022;Mossoró;RN;A
P1;04/09/2022;Tatuí;SP;B
P1;04/09/2022;São Paulo;SP;A
P1;04/09/2022;Macapá;AP;A
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;Rolim de Moura;RO;B
P1;04/09/2022;Leme;SP;A
P1;04/09/2022;Cacoal;RO;B
P1;04/09/2022;São João da Baliza;RR;B
P1;04/09/2022;Matozinhos;MG;A
P1;04/09/2022;Brasília;DF;A
P1;04/09/2022;Paraíso;SC;B
P1;04/09/2022;Maceió;AL;A
P1;04/09/2022;São José dos Pinhais;PR;B
P1;04/09/2022;São Paulo;SP;A
P1;04/09/2022;Nova Canaã do Norte;MT;A
P1;04/09/2022;Pimenta Bueno;RO;B
P1;04/09/2022;Milhã;CE;A
P1;04/09/2022;Formosa do Oeste;PR;A
P1;04/09/2022;Glória de Dourados;MS;A
P1;04/09/2022;Teresina;PI;A
P1;04/09/2022;Rio de Janeiro;RJ;B
P1;04/09/2022;Matão;SP;B
P1;04/09/2022;Rio Branco;AC;B
P1;04/09/2022;Chopinzinho;PR;B
P1;04/09/2022;Piripiri;PI;A
P1;04/09/2022;Nova Xavantina;MT;A
P1;04/09/2022;Caiçara;RS;A
P1;04/09/2022;Maceió;AL;A
P1;04/09/2022;Varginha;MG;A
P1;04/09/2022;Lassance;MG;B
P1;04/09/2022;Mossoró;RN;A
P1;04/09/2022;Brasília;DF;B
P1;04/09/2022;Forquilha;CE;B
P1;04/09/2022;Brusque;SC;B
P1;04/09/2022;Itaguatins;TO;A
P1;04/09/2022;Santa Cruz do Capibaribe;PE;B
P1;04/09/2022;Rio das Ostras;RJ;B
P1;04/09/2022;Juru;PB;A
P1;04/09/2022;Serrita;PE;A
P1;04/09/2022;Piraquara;PR;A
P1;04/09/2022;Forquilha;CE;B
P1;04/09/2022;Piatã;BA;B
P1;04/09/2022;Divina Pastora;SE;A
P1;04/09/2022;Clevelândia;PR;B
P1;04/09/2022;Alto Alegre;RR;B
P1;04/09/2022;Lagoa da Canoa;AL;A
P1;04/09/2022;Porto Grande;AP;B
P1;04/09/2022;Franco da Rocha;SP;B
P1;04/09/2022;Mossoró;RN;A
P1;04/09/2022;Campo Novo de Rondônia;RO;B
P1;04/09/2022;Hugo Napoleão;PI;B
P1;04/09/2022;Maceió;AL;A
P1;04/09/2022;Rio das Ostras;RJ;A
P1;04/09/2022;São Roque do Canaã;ES;B
P1;04/09/2022;Palmas;TO;A
P1;04/09/2022;Feira da Mata;BA;A
P1;04/09/2022;Alta Floresta D'Oeste;RO;B
P1;04/09/2022;Manaquiri;AM;A
P1;04/09/2022;Batayporã;MS;A
P1;04/09/2022;Novo Cabrais;RS;A
P1;04/09/2022;Salto do Céu;MT;B
P1;04/09/2022;Porto Walter;AC;B
P1;04/09/2022;Sossêgo;PB;A
P1;04/09/2022;Itanhomi;MG;A
P1;04/09/2022;Barão de Melgaço;MT;B
P1;04/09/2022;Medina;MG;A
P1;04/09/2022;Corumbá;MS;B
P1;04/09/2022;Jatobá do Piauí;PI;A
P1;04/09/2022;Senador Guiomard;AC;B
P1;04/09/2022;São Miguel Arcanjo;SP;A
P1;04/09/2022;Guarulhos;SP;B
P1;04/09/2022;Rio de Janeiro;RJ;A
P1;04/09/2022;Camalaú;PB;B
P1;04/09/2022;Santa Luzia;PB;B
P1;04/09/2022;Manaquiri;AM;A
P1;04/09/2022;Alto Alegre;RR;B
P1;04/09/2022;Tarauacá;AC;B
P1;04/09/2022;Limoeiro de Anadia;AL;A
P1;04/09/2022;Nova Brasilândia D'Oeste;RO;A
P1;04/09/2022;Bujari;AC;B
P1;04/09/2022;Aracitaba;MG;B
P1;04/09/2022;Mercedes;PR;A
P1;04/09/2022;Nova Friburgo;RJ;B
P1;04/09/2022;Petrolina;PE;A
P1;04/09/2022;Taquarana;AL;B
P1;04/09/2022;Porto Walter;AC;B
P1;04/09/2022;Timon;MA;A
P1;04/09/2022;Deputado Irapuan Pinheiro;CE;A
P1;04/09/2022;São Lourenço;MG;A
P1;04/09/2022;Anadia;AL;A
P1;04/09/2022;Guajará-Mirim;RO;A
P1;04/09/2022;Rio Branco;AC;B
P1;04/09/2022;Turilândia;MA;B
P1;04/09/2022;Santo Inácio;PR;B
P1;04/09/2022;Jacareacanga;PA;A
P1;04/09/2022;Tomar do Geru;SE;B
P1;04/09/2022;Palestina do Pará;PA;B
P1;04/09/2022;Água Preta;PE;A
P1;04/09/2022;Cravinhos;SP;A
P1;04/09/2022;São Manuel;SP;B
P1;04/09/2022;Santa Maria das Barreiras;PA;A
P1;04/09/2022;Vanini;RS;B
P1;04/09/2022;Maceió;AL;A
P1;04/09/2022;Aracruz;ES;B
P1;04/09/2022;Pedra;PE;A
P1;04/09/2022;São Domingos;SC;A
P1;04/09/2022;Ribeirão das Neves;MG;A
P1;04/09/2022;Feijó;AC;A
P1;04/09/2022;Aracaju;SE;A
P1;04/09/2022;Talismã;TO;A
P1;04/09/2022;Vila Velha;ES;B
P1;04/09/2022;Cachoeira Dourada;GO;B
P1;04/09/2022;Porto Walter;AC;B
P1;04/09/2022;Alto Feliz;RS;B
P1;04/09/2022;Augustinópolis;TO;B
P1;04/09/2022;Rio Grande;RS;A
P1;04/09/2022;Capixaba;AC;B
P1;04/09/2022;Itapuã do Oeste;RO;B
P1;04/09/2022;Areia Branca;RN;B
P1;04/09/2022;Aquidabã;SE;B
P1;04/09/2022;Porto Velho;RO;B
P1;04/09/2022;Camalaú;PB;A
P1;04/09/2022;Cantá;RR;B
P1;04/09/2022;Alexandria;RN;A
